新二级类型标签	行政区	派出所	具体位置描述	楼栋编码
住宅	宝安	共乐所	华丰前海湾一期D栋	4403060010042600025
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区A9-1	4403060010043500048
住宅	宝安	西乡所	铲岛路2号缤纷世界 小区C2栋	4403060010043500052
住宅	宝安	西乡所	铲岛路1号绿海名居小区4栋	4403060010043500073
住宅	宝安	西乡所	辅四路与辅七路交汇处前海铂寓1栋	4403060010043700047
住宅	宝安	西乡所	坪洲新村三期1栋	4403060010043900014
住宅	宝安	西乡所	坪洲新村三期2栋	4403060010043900015
住宅	宝安	西乡所	坪洲新村二期6栋	4403060010043900019
住宅	宝安	西乡所	坪洲新村二期11栋	4403060010043900020
住宅	宝安	西乡所	坪洲新村二期14栋	4403060010043900023
住宅	宝安	西乡所	坪洲新村二期2栋	4403060010043900027
住宅	宝安	西乡所	坪洲新村二期1栋	4403060010043900028
住宅	宝安	西乡所	海城路259号坪洲新村一期1-2	4403060010044200001
住宅	宝安	鹤洲所	保罗工业区5栋	4403060010110200018
商业办公	宝安	鹤洲所	保罗工业区普明生1栋	4403060010110200027
住宅	宝安	鹤洲所	保罗工业区3栋	4403060010110200073
住宅	宝安	鹤洲所	鹤洲新村10巷2号	4403060010110400027
住宅	宝安	鹤洲所	鹤洲新村9巷7号	4403060010110400037
住宅	宝安	鹤洲所	鹤洲新村8巷2号	4403060010110400039
住宅	宝安	鹤洲所	鹤洲新村6巷3号	4403060010110400055
住宅	宝安	鹤洲所	鹤洲新村6巷4号	4403060010110400056
住宅	宝安	鹤洲所	鹤洲新村5巷2号	4403060010110400062
住宅	宝安	鹤洲所	鹤洲新村5巷7号	4403060010110400067
住宅	宝安	鹤洲所	鹤洲新村4巷6号	4403060010110400075
住宅	宝安	鹤洲所	鹤洲新村3巷3号	4403060010110400080
住宅	宝安	鹤洲所	鹤洲新村2巷2号	4403060010110400086
住宅	宝安	鹤洲所	鹤洲新村2巷4号	4403060010110400088
住宅	宝安	鹤洲所	鹤洲西区13巷1号	4403060010110700019
住宅	宝安	鹤洲所	鹤洲旧村一巷9号	4403060010110700265
住宅	宝安	鹤洲所	鹤洲旧村一巷8号	4403060010110700266
住宅	宝安	鹤洲所	鹤洲旧村一巷7号	4403060010110700267
住宅	宝安	鹤洲所	福加福大厦	4403060010110700277
住宅	宝安	黄田所	恒金公寓	4403060010120300181
公寓	宝安	黄田所	壹航酒店	4403060010120600001
工地	宝安	航城所	广西五建	44030600101207T0087
住宅	宝安	黄田所	泰福名苑2栋	4403060010140200139
住宅	宝安	鹤洲所	九围一路7号	4403060010160600215
住宅	宝安	鹤洲所	九围一路18号2栋	4403060010160900018
住宅	宝安	鹤洲所	九围一路39号	4403060010160900036
住宅	宝安	鹤洲所	九围路162-2	4403060010161200139
住宅	宝安	鹤洲所	九围新村一区2-1号	4403060010161200205
住宅	宝安	鹤洲所	金桂园B04栋	4403060010161500083
住宅	宝安	鹤洲所	富源工业城S10栋	4403060010161800067
住宅	宝安	鹤洲所	洲石路594号1栋	4403060010161900092
住宅	宝安	黄田所	三围北9巷20	4403060010250100132
住宅	宝安	黄田所	三围北路43号	4403060010250300185
住宅	宝安	黄田所	汇庭居汇福阁	4403060010250500051
住宅	宝安	黄田所	雅庭苑1栋A单元	4403060010250500088
住宅	宝安	黄田所	雅庭苑2栋B单元	4403060010250500090
住宅	宝安	黄田所	雅庭苑5栋B单元	4403060010250500093
商业办公	宝安	黄田所	易瑞生物科技楼	4403060010250800005
住宅	宝安	流塘所	桃源居六区1栋一单元	4403060010260300002
住宅	宝安	流塘所	铁岗西路26号	4403060010270800024
住宅	宝安	流塘所	铁岗村83号	4403060010270800050
住宅	宝安	流塘所	铁岗东一巷8号	4403060010270900007
住宅	宝安	鹤洲所	阳光工业区D栋1	4403060010311600039
住宅	宝安	航城所	深航东区B19公寓	4403060020071200042
住宅	宝安	福永所	兴围新一巷3号	4403060020130200290
住宅	宝安	福永所	兴围中路9号兴围华府2栋	4403060020130200322
住宅	宝安	福永所	兴围中路9号兴围华府5栋	4403060020130200324
住宅	宝安	福永所	兴围西四巷10号	4403060020130300045
住宅	宝安	福永所	宝安大道6018号(鸿运苑)	4403060020130300361
住宅	龙华	民治所	樟坑二区29栋	4403060090012500035
住宅	龙华	民治所	樟坑二区27栋	4403060090012500037
住宅	龙华	民治所	樟坑二区65栋	4403060090012500078
住宅	龙华	民新所	白石龙老村33栋	4403060096010700043
住宅	龙华	民新所	圣莫丽斯C区11栋	4403060096010800016
住宅	龙华	民新所	圣莫丽斯C区14栋	4403060096010800019
住宅	龙华	民新所	龙悦居一期E栋	4403060096010800292
住宅	宝安	镇南所	大宝路45号风采轩花园7栋	4403060110040800009
住宅	宝安	翻身所	怡景花苑B栋	4403060110060500074
商业办公	宝安	翻身所	宝安区水务局档案室	4403060110100600004
住宅	宝安	翻身所	假日名居5栋	4403060110100900173
住宅	宝安	翻身所	假日名居7栋	4403060110100900175
住宅	宝安	翻身所	高发西岸花园3栋	4403060110101000036
住宅	福田	南园所	中电大院1栋	4403040020100200006
商业办公	福田	福田所	荣超国际商会中心	4403040030011500003
商业办公	福田	天安所	绿景NEO大厦B栋	4403040040100200001
商业办公	福田	天安所	劲松大厦	4403040040100300004
住宅	福田	天安所	天安高尔夫花园珑园7栋	4403040040101000004
住宅	福田	天安所	天安高尔夫花园珑园4栋	4403040040101000008
住宅	福田	天安所	天安高尔夫花园珑园3栋	4403040040101000009
商业办公	福田	天安所	天发大厦	4403040040102400002
公寓	福田	华强北所	深南中路3032号上海宾馆	4403040060021100006
住宅	福田	华富所	莲花一村15栋	4403040060050500018
住宅	福田	华富所	莲花一村1栋	4403040060050500059
商业办公	福田	华富所	南华小学（福田区田面二街）	4403040060090700004
住宅	福田	香蜜湖所	香荔绿洲7栋	4403040070010100012
住宅	福田	香蜜湖所	天御香山5号楼	4403040070010500008
住宅	福田	香蜜湖所	特发小区9栋	4403040070050400014
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园17处（96-100号）96/98/99/100	4403040070060100008
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园9处（31-41号）31/32、33/35/36/38/39/40/41	4403040070060100018
住宅	福田	香蜜湖所	熙园5C	4403040070060600022
公寓	福田	香蜜湖所	学苑大厦	4403040070060800001
住宅	福田	香蜜湖所	竹园小区南区8	4403040070080900019
住宅	福田	景田所	天健天骄西筑1栋	4403040080110500025
住宅	福田	景田所	香蜜新村3栋一单元	4403040080110900020
住宅	福田	景田所	香蜜新村25栋三单元	4403040080110900026
商业办公	南山	蛇口港所	南海中学老综合楼	4403050020060300036
住宅	南山	蛇口港所	前海颐湾府二栋	4403050020060900016
住宅	南山	南山所	前海时代CEO公馆17栋A单元	4403050020120200023
商业办公	南山	高新区所	兰光科技园	4403050030073700004
商业办公	南山	沙河所	寰侨国际	4403050040040600021
住宅	南山	沙河所	深圳湾花园5栋	4403050040070400005
公寓	南山	沙河所	深业沙河(金三角)	4403050040080200008
住宅	南山	沙河所	下白石一坊19号	4403050040080300039
住宅	南山	沙河所	香山里3栋	4403050040090100052
商业办公	南山	高新区所	澳特科兴科学园A栋	4403050070080100051
公寓	南山	塘朗所	榆峰公寓	4403050080081200023
住宅	宝安	西乡所	海城路259号坪洲新村一期8栋	4403060010044200003
住宅	宝安	鹤洲所	黄鹤收费站宿舍楼（空置）	4403060010110200012
住宅	宝安	鹤洲所	保罗工业区1栋	4403060010110200020
住宅	宝安	鹤洲所	鹤洲新村9巷2号	4403060010110400032
住宅	宝安	鹤洲所	鹤洲新村7巷3号	4403060010110400047
住宅	宝安	鹤洲所	鹤洲新村1巷2号	4403060010110400089
住宅	宝安	鹤洲所	鹤洲西区七巷10号	4403060010110700077
公寓	宝安	鹤洲所	新金川	4403060010110800099
住宅	宝安	黄田所	尚易大厦	4403060010120500093
住宅	宝安	黄田所	泰福名苑1栋	4403060010140200136
住宅	宝安	黄田所	泰福名苑3栋	4403060010140200140
住宅	宝安	鹤洲所	旺盈彩盒纸品有限公司宿舍楼	4403060010160600161
住宅	宝安	鹤洲所	九围一路68号5栋	4403060010160900235
住宅	宝安	鹤洲所	九围一路6号	4403060010160900314
住宅	宝安	鹤洲所	九围路203号	4403060010161200261
住宅	宝安	鹤洲所	九围新村区131号	4403060010161300275
住宅	宝安	鹤洲所	九围新村三区116号	4403060010161300278
住宅	宝安	鹤洲所	华昌工业区11栋	4403060010161900010
住宅	宝安	鹤洲所	富源工业城S3栋	4403060010162000005
住宅	宝安	黄田所	三围北4巷16号	4403060010250100116
住宅	宝安	黄田所	三围北13巷5	4403060010250300069
住宅	宝安	黄田所	汇庭居汇腾阁	4403060010250500078
住宅	宝安	流塘所	铁岗西路22号	4403060010270800025
住宅	宝安	流塘所	铁岗东路35号	4403060010270800027
住宅	宝安	流塘所	铁岗东一巷7号	4403060010270900008
住宅	宝安	福永所	兴围中路9号兴围华府4栋	4403060020130200320
住宅	宝安	福永所	兴围中十巷15号	4403060020130300312
住宅	龙华	民治所	樟坑二区19栋	4403060090012500039
住宅	龙华	民新所	莱蒙水榭山一组团一栋	4403060096010800165
住宅	宝安	翻身所	假日名居6栋	4403060110100900174
住宅	福田	通新岭所	荔香坊	4403040010090900013
商业办公	福田	南园所	新诚大厦（深南中路1025号）	4403040020050300002
商业办公	福田	福田所	招商证券大厦	4403040030010700005
住宅	福田	华富所	莲花一村29栋	4403040060050500029
住宅	福田	香蜜湖所	香荔绿洲1栋	4403040070010100004
住宅	福田	香蜜湖所	特发小区17栋	4403040070050400022
住宅	福田	香蜜湖所	水榭花都鸣翠居6栋、8栋	4403040070060100025
住宅	福田	香蜜湖所	熙园1B栋	4403040070060600007
住宅	福田	香蜜湖所	水榭花都苏堤1排（1-11栋）	4403040070060700009
商业办公	福田	香蜜湖所	水榭花都幼儿园	4403040070060700016
住宅	南山	西丽所	麒麟山庄宿舍	4403050030110100026
住宅	南山	沙河所	深圳湾花园1栋	4403050040070400004
住宅	南山	沙河所	深圳湾花园9栋	4403050040070400009
住宅	南山	沙河所	荔枝苑西区1栋	4403050040130100007
商业办公	南山	深湾所	华润大厦	4403050070050500006
商业办公	南山	深湾所	深圳湾1号T1	4403050070140300004
不住人	宝安	航城所	领航二路62号110kV国际机场变电站（能源中心南大楼）	4403060010011100013
住宅	宝安	鹤洲所	保罗小区7栋	4403060010110200071
住宅	宝安	鹤洲所	鹤洲新村11巷1号	4403060010110400021
住宅	宝安	鹤洲所	鹤洲新村7巷6号	4403060010110400050
住宅	宝安	鹤洲所	鹤洲新村3巷5号	4403060010110400082
住宅	宝安	鹤洲所	鹤洲新村7巷8号	4403060010110400104
住宅	宝安	鹤洲所	鹤洲旧村一巷10号	4403060010110700264
住宅	宝安	鹤洲所	九围一路50号	4403060010160900099
住宅	宝安	鹤洲所	九围一路4号	4403060010160900119
住宅	宝安	鹤洲所	九围新村一区6-1号	4403060010161200248
住宅	宝安	鹤洲所	富源工业城S1栋	4403060010161900043
商业办公	宝安	黄田所	台兴产业园	4403060010251300055
住宅	宝安	福永所	兴围新一巷5号	4403060020130200304
商业办公	龙华	上塘所	信义学校宿舍楼	4403060096010500034
商业办公	龙华	民新所	深高北新园	4403060096010700265
商业办公	罗湖	桂园所	金融中心大厦（建设银行）	4403030030010100003
商业办公	福田	福田所	皇庭广场	4403040030011600001
商业办公	福田	香蜜湖所	阳光高尔夫大厦	4403040070011200003
住宅	福田	香蜜湖所	特发小区10栋	4403040070050400015
住宅	福田	香蜜湖所	特发小区18栋3单元	4403040070050400021
住宅	福田	香蜜湖所	豪峰园2栋	4403040070050700007
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园18处（101-110号）101/102/103/105/106/108/109/110	4403040070060100007
商业办公	南山	蛇口港所	青年梦工厂3号楼	4403050020063700003
公寓	南山	南山所	弘毅综合楼	4403050020120200043
商业办公	南山	沙河所	深圳先进实验学校A栋	4403050040040100038
公寓	南山	深湾所	深圳湾一号T2	4403050070140300005
住宅	宝安	黄田所	航空路14号（石洲路5栋）	4403060010011200011
住宅	宝安	鹤洲所	鹤洲新村11巷5号1栋	4403060010110400005
住宅	宝安	鹤洲所	鹤洲新村9巷4号	4403060010110400034
住宅	宝安	鹤洲所	鹤洲新村6巷2号	4403060010110400054
住宅	宝安	鹤洲所	鹤洲旧村一巷6号	4403060010110700270
住宅	宝安	鹤洲所	鹤洲旧村一巷4号	4403060010110700273
住宅	宝安	鹤洲所	鹤洲旧村一巷3号	4403060010110700274
公寓	宝安	鹤洲所	机场航城亚朵X酒店	4403060010110900036
住宅	宝安	黄田所	青禾公寓	4403060010120600102
商业办公	宝安	航城所	ITC运管大楼B栋	4403060010120900004
住宅	宝安	鹤洲所	九围一路36号	4403060010160900299
住宅	宝安	鹤洲所	丁圳路13号	4403060010160900309
住宅	宝安	鹤洲所	九围路151-1号	4403060010161200090
住宅	宝安	黄田所	三围北13巷9	4403060010250100120
住宅	宝安	福永所	兴围新二巷8-2号	4403060020130200244
公寓	福田	南园所	粤塔电竞酒店	4403040020100200001
商业办公	福田	福田所	兴业银行大厦	4403040030010500002
商业办公	福田	福田所	华安保险大厦	4403040030010700002
商业办公	福田	天安所	有色大厦	4403040040100500004
住宅	福田	华富所	莲花一村2栋	4403040060050500058
住宅	福田	香蜜湖所	特发小区16栋3单元	4403040070050400018
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园16处（89-95号）89/90/91/92/93/95、	4403040070060100009
住宅	福田	香蜜湖所	熙园5B栋	4403040070060600021
住宅	南山	沙河所	香山美墅云颂3栋	4403050040090200085
住宅	宝安	鹤洲所	鹤洲庄边工业园旁阿科太综合楼	4403060010111000044
公寓	宝安	黄田所	三围工业路欣瑞联电子有限公司员工宿舍楼（哈罗轻酒店）	4403060010251300006
工地	宝安	流塘所	深江铁路3标深莞隧道（东段）隧道石方爆破工程	44030600102603T0001
住宅	宝安	流塘所	桃花源创新园A1栋	4403060010270600039
住宅	宝安	塘头所	塘头第三工业区C栋宿舍	4403060060072400069
住宅	宝安	塘头所	新辉工业区4栋	4403060060072400079
商业办公	宝安	镇南所	宝安中学高中部	4403060110110300024
商业办公	罗湖	口岸所	太平洋商贸大厦A座、B座（相连）	4403030020020200002
住宅	福田	南园所	乐安苑	4403040020100100006
商业办公	福田	福田所	中国人寿大厦	4403040030010700004
商业办公	福田	福田所	华嵘大厦	4403040030080400002
住宅	福田	沙头所	安居乐寓（上沙椰树村11-5）	4403040040080200018
商业办公	福田	香蜜湖所	深圳外国语小学	4403040070010700006
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园8处（22-30号）22/23/25/26/28、29/30	4403040070060100023
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园7处（18-21号）18/19/20/21	4403040070060100024
商业办公	南山	南头所	数字文化产业基地	4403050010051600002
商业办公	南山	南头所	泰源装饰建材广场	4403050010080900007
住宅	南山	蛇口港所	中集国际公寓	4403050020064000002
住宅	南山	南山所	前海时代CEO公馆11栋B单元	4403050020120200034
住宅	宝安	鹤洲所	保罗小区8栋	4403060010110200070
住宅	宝安	鹤洲所	鹤洲新村7巷7号	4403060010110400051
住宅	宝安	鹤洲所	鹤洲新村5巷5号	4403060010110400065
住宅	宝安	鹤洲所	鹤洲新村2巷1号	4403060010110400085
住宅	宝安	鹤洲所	鹤洲新村1巷3号	4403060010110400090
不住人	宝安	航城所	公安综合楼附楼	4403060010120900001
住宅	宝安	鹤洲所	九围路195号	4403060010161200058
住宅	宝安	流塘所	宝安桃花源第一创新园A2栋	4403060010270600037
住宅	龙华	民新所	圣莫丽斯B区8栋	4403060096010800064
商业办公	罗湖	桂园所	湖北宝丰大厦	4403030030100300001
商业办公	福田	华强北所	华南电力大厦	4403040010021300016
商业办公	福田	华强北所	福田区华强北街道深南中路2008号华联大厦	4403040010021700012
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园10处（42-51号）42/43/45/46/48/49/50/51	4403040070060100022
住宅	南山	南头所	新海大厦	4403050010040400009
商业办公	南山	塘朗所	深圳大学附属外国语中学（教学楼）	4403050080081700044
住宅	宝安	鹤洲所	保罗小区2栋	4403060010110200046
住宅	宝安	鹤洲所	鹤洲新村6巷1号	4403060010110400053
公寓	宝安	黄田所	航廷酒店	4403060010120600088
住宅	龙华	民新所	白石龙老村25栋	4403060096010700042
商业办公	罗湖	桂园所	大剧院	4403030030040700001
商业办公	罗湖	桂园所	阳光医疗美容医院	4403030040030300011
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园13处（66、68号）	4403040070060100010
商业办公	福田	香蜜湖所	深圳市委党校（教学楼）	4403040070060800003
商业办公	福田	景田所	市政大厦	4403040080110900023
公寓	南山	南山所	鸿丰大酒店	4403050020080900107
住宅	南山	沙河所	香山美墅云颂2栋	4403050040090200084
住宅	南山	塘朗所	汇城茗院2栋1单元	4403050080020500013
商业办公	宝安	航城所	ITC运管大楼C栋	4403060010120900003
住宅	宝安	鹤洲所	九围新村一区3-1号	4403060010161200196
住宅	宝安	鹤洲所	九围新村一区7号	4403060010161200252
住宅	宝安	鹤洲所	金桂园A03	4403060010161500106
商业办公	福田	南园所	上步大厦	4403040020080200012
商业办公	福田	福田所	联通大厦	4403040030010700001
住宅	福田	沙头所	上沙椰树村11-1	4403040040080200014
住宅	福田	天安所	特发高尔夫俱乐部百合路8号	4403040040130200013
住宅	南山	南山所	前海时代CEO公馆16栋A单元	4403050020120200026
住宅	宝安	鹤洲所	鹤洲新村4巷8号	4403060010110400077
住宅	宝安	鹤洲所	九围路193号	4403060010161200061
住宅	宝安	鹤洲所	九围路173	4403060010161200073
商业办公	宝安	黄田所	航城学校	4403060010312600089
公寓	福田	福田所	香格里拉大酒店	4403040030010800001
商业办公	福田	天安所	安徽大厦创展中心	4403040040100100001
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园19处（111-118号）111/112/113/115/116/118	4403040070060100006
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园12处（61-65）61/62/63/65	4403040070060100011
商业办公	南山	沙河所	深湾汇云中心五期J座	4403050040010700011
商业办公	福田	莲花所	博时基金大厦	4403040080031200005
商业办公	南山	高新所	中电长城大厦北塔	4403050070080900011
商业办公	南山	南头所	新豪方大厦	4403050010051500001
商业办公	南山	西丽所	丽湖学校行政楼	4403050030050800033
公寓	宝安	航城所	维也纳好眠酒店	4403060010010400014
住宅	宝安	鹤洲所	鹤洲新村9巷5号	4403060010110400035
商业办公	福田	天安所	世纪豪庭大厦	4403040040100700003
商业办公	福田	天安所	天祥大厦	4403040040101100003
商业办公	福田	华富所	莲花一村社区笋岗西路4003号美莲幼儿园	4403040060050500026
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园15处（79-88号）79/80/81/82/83/85、86/88	4403040070060100013
住宅	宝安	鹤洲所	鹤洲新村7巷1号	4403060010110400045
商业办公	宝安	鹤洲所	深业U中心D栋深业康复医院	4403060010310400026
不住人	宝安	上川所	大宝北公交首末站	4403060110160100006
住宅	宝安	鹤洲所	保罗小区13栋	4403060010110200052
公寓	福田	福田所	特美思大厦内好日子酒店	4403040030010400006
商业办公	南山	塘朗所	北大F栋教学楼	4403050080020100005
商业办公	福田	南园所	西丽大厦（建国璞隐酒店）	4403040020100200002
住宅	宝安	鹤洲所	强荣东工业区5号楼	4403060010161700041
公寓	宝安	福永所	宝安大道6016号（新泰酒店）	4403060020130300362
工地	宝安	翻身所	臻誉府	44030601101010T0067
商业办公	福田	天安所	创新科技广场一期A座	4403040040101100002
商业办公	福田	天安所	创新二期	4403040040102400003
商业办公	福田	香蜜湖所	荔园外国语小学（东校区）	4403040070060700017
住宅	南山	沙河所	下白石一坊4号	4403050040080300024
商业办公	宝安	黄田所	三围南路23号三围市场101（优辰足道）	4403060010251300030
商业办公	宝安	鹤洲所	阳光工业区C栋	4403060010311600058
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园11处（52-60号）52/53/55/56/58/59/60	4403040070060100014
商业办公	南山	西丽所	丽湖学校小学部	4403050030050800035
住宅	宝安	鹤洲所	鹤洲新村1巷1号	4403060010110400092
住宅	福田	沙头所	湖北大厦北区	4403040040140100001
商业办公	福田	景田所	天平大厦	4403040080050500001
公寓	宝安	鹤洲所	东泊湾酒店（已倒闭）	4403060010110800101
商业办公	宝安	鹤洲所	九围一路62号	4403060010160900197
商业办公	龙华	民新所	玉龙学校附属幼儿园	4403060096010800293
不住人	宝安	翻身所	中心区2号雨水泵站	4403060110100600009
商业办公	罗湖	桂园所	鼎丰大厦	4403030030100300010
商业办公	福田	福田所	平安金融中心南塔	4403040030012300006
商业办公	福田	天安所	雪松大厦A座	4403040040102100010
住宅	南山	沙河所	香山美墅云颂1栋	4403050040090200083
商业办公	福田	天安所	喜年中心大厦B座	4403040040100600007
商业办公	宝安	黄田所	深圳市宝安区航城街道后瑞社区爱民路7号（盈德丰）	4403060010120600086
工地	宝安	黄田所	中铁十二局搅拌站	44030600101401T0479
商业办公	南山	蛇口港所	红星美凯龙1栋	4403050020030100006
商业办公	南山	桃源所	深圳市医疗卫生专业服务中心	4403050080090400008
住宅	宝安	鹤洲所	鹤洲新村4巷3号	4403060010110400072
商业办公	宝安	鹤洲所	粮仓	4403060010110900037
公寓	福田	福田所	丽思卡尔顿酒店	4403040030011700003
商业办公	福田	天安所	英龙展业大厦	4403040040100600002
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园5处（11、12号）	4403040070060100015
商业办公	南山	南头所	佳嘉豪大厦	4403050010051500002
公寓	南山	沙河所	威尼斯英迪格酒店	4403050040130200001
住宅	宝安	鹤洲所	金桂园A2栋	4403060010161500102
商业办公	福田	福田所	国信金融大厦	4403040030010700006
商业办公	福田	天安所	苍松大厦	4403040040101700007
商业办公	福田	莲花所	江苏大厦西侧	4403040080030700001
商业办公	南山	蛇口港所	立桥A	4403050020060300040
不住人	南山	南山所	龙庭天下公寓	4403050020110100139
住宅	福田	华富所	莲花一村50栋	4403040060050500038
商业办公	宝安	航城所	顺丰航空大厦B栋	4403060010010600051
商业办公	福田	华富所	深业上城南区商业综合楼L2外街	4403040060050400004
商业办公	南山	南头所	奔驰南方腾星	4403050010010100001
住宅	龙华	民新所	圣莫丽斯B区7栋	4403060096010800063
商业办公	福田	华富所	城市绿洲学校(深南中路4030号)	4403040060090700002
商业办公	宝安	鹤洲所	鹤洲学校主教学楼1栋	4403060010110400014
住宅	宝安	鹤洲所	金桂园B02栋	4403060010161500091
商业办公	福田	福田所	鼎和大厦	4403040030011700004
商业办公	福田	华强北所	深南中路3034航空大厦	4403040060021100007
商业办公	福田	香蜜湖所	深圳市委党校（办公楼）	4403040070060800002
住宅	宝安	共乐所	西湾公寓C栋	4403060010172300010
商业办公	福田	福田所	平安金融中心北塔（益田路5033号）	4403040030011300002
商业办公	福田	福田所	国际商会大厦A座	4403040030010500006
商业办公	福田	景田所	荔园外国语小学深南校区	4403040080100600002
商业办公	南山	西丽所	大学城创意园B座	4403050030050800004
住宅	宝安	鹤洲所	黄鹤收费站活动板房	44030600101102T0014
公寓	南山	西丽所	宝生月子中心	4403050030110800033
商业办公	福田	福田所	深圳市金地中心	4403040030080400005
住宅	宝安	鹤洲所	金桂园B06栋	4403060010161500074
商业办公	罗湖	桂园所	华润大厦	4403030030100400001
商业办公	福田	福田所	中心商务大厦	4403040030010500007
商业办公	南山	沙河所	沙河武装部	4403050040080300033
商业办公	福田	福田所	航天大厦	4403040030010500001
住宅	宝安	鹤洲所	九围一路47号	4403060010160900047
商业办公	宝安	鹤洲所	洲石路558号	4403060010161200231
商业办公	龙华	民新所	汇德大厦1号楼（写字楼）	4403060096010600271
商业办公	南山	塘朗所	深圳大学总医院	4403050080080300001
住宅	福田	天安所	特发高尔夫俱乐部百合路13号	4403040040130200018
住宅	宝安	鹤洲所	金桂园A01栋	4403060010161500098
商业办公	南山	西丽所	丽湖学校停车场出入口岗亭	4403050030050800034
商业办公	南山	高新区所	富华科技C栋	4403050030073600009
住宅	宝安	黄田所	汇庭居汇如阁	4403060010250500052
住宅	福田	天安所	特发高尔夫俱乐部百合路2号	4403040040130200007
商业办公	福田	香蜜湖所	四季花谷2号楼	4403040070021100012
商业办公	福田	香蜜湖所	东海缤纷天地	4403040070011300008
住宅	福田	天安所	特发高尔夫俱乐部百合路3号	4403040040130200008
商业办公	南山	深湾所	联想后海中心	4403050070050500033
商业办公	福田	香蜜湖所	鑫竹苑A栋	4403040070080900022
商业办公	福田	福田所	国际商会大厦B座	4403040030010500005
商业办公	福田	沙头所	滨河大道9285号中洲滨海商业中心写字楼B栋	4403040040080100019
商业办公	福田	天安所	创业园	4403040040101300001
公寓	宝安	黄田所	维也纳酒店	4403060010120600006
商业办公	宝安	鹤洲所	鹤洲幼儿园2栋	4403060010110400111
公寓	南山	南山所	康莱德酒店	4403050020120200049
商业办公	福田	沙头所	中央西谷大厦	4403040040120200001
商业办公	龙华	民新所	汇德大厦4号楼	4403060096010600272
商业办公	宝安	航城所	跨越速运大楼	4403060010120700066
商业办公	南山	深湾所	百丽大厦	4403050070140300012
商业办公	福田	福田所	免税商务大厦	4403040030010400007
住宅	福田	天安所	特发高尔夫俱乐部百合路10号	4403040040130200015
商业办公	南山	深湾所	中海油大厦A	4403050070140300022
商业办公	宝安	黄田所	航空路30号C栋	4403060010070400011
商业办公	南山	蛇口港所	前海诚进大厦	4403050020060600009
住宅	福田	天安所	特发高尔夫俱乐部百合路11号	4403040040130200016
商业办公	福田	天安所	天济大厦	4403040040101900002
商业办公	福田	通新岭所	新闻大厦	4403040010090900019
住宅	福田	天安所	特发高尔夫俱乐部百合路9号	4403040040130200014
商业办公	福田	香蜜湖所	福田区儿童图书馆	4403040070020400005
商业办公	福田	华强北所	佳和华强大厦	4403040060020900005
商业办公	南山	南头所	振业国际商务中心	4403050010100400008
商业办公	福田	天安所	天展大厦	4403040040102400001
商业办公	南山	西丽所	杨桃小院	4403050030050800176
商业办公	南山	沙河所	博耐建材家具城	4403050040010100005
商业办公	南山	粤海所	深铁皇冠酒店	4403050070160100003
商业办公	龙华	民新所	北站壹号创想大厦	4403060096010600303
商业办公	福田	华强北所	电子大厦	4403040010021800005
住宅	福田	香蜜湖所	东海花园一期4栋	4403040070010900012
住宅	宝安	鹤洲所	金桂园A29栋	4403060010161500114
商业办公	南山	南头所	深圳保利汽车	4403050010010300003
住宅	龙华	民新所	莱蒙水榭山一组团三栋	4403060096010800166
住宅	宝安	鹤洲所	金桂园B05栋	4403060010161500079
商业办公	南山	南山所	弘毅大厦	4403050020120200045
不住人	福田	南园所	深圳市党群服务中心	4403040020050300001
商业办公	南山	深湾所	中铁大厦	4403050070140300003
商业办公	福田	福田所	新华保险大厦	4403040030010500004
商业办公	福田	福田所	星河发展中心	4403040030011700001
住宅	南山	西丽所	丽湖园保安亭	4403050030050800230
住宅	宝安	鹤洲所	金桂园A30栋	4403060010161500110
住宅	宝安	黄田所	汇庭居汇园阁	4403060010250500096
商业办公	福田	福田所	嘉里建设广场1期	4403040030010800003
不住人	福田	福田所	华强南西片区旧改更新拆迁区域	4403040030030100021
商业办公	福田	福田所	卓越时代广场1期	4403040030011500001
商业办公	福田	福田所	大中华交易广场	4403040030011100001
商业办公	南山	西丽所	丽湖学校初中部	4403050030050800036
商业办公	宝安	镇南所	创业二路274号腾达大厦	4403060110040500012
商业办公	宝安	黄田所	内环路茶树商业楼B栋	4403060010250500045
住宅	宝安	鹤洲所	金桂园B01栋	4403060010161500141
商业办公	龙华	民新所	深水规院（4栋）	4403060096010500039
公寓	宝安	福永所	兴围路东1号怡丰酒店	4403060020130100107
商业办公	南山	深湾所	中建科工大厦	4403050070140300013
商业办公	宝安	机场所	深圳机场T3商务写字楼C座	4403060010120900002
商业办公	福田	沙头所	祥祺大厦	4403040040120200003
